target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J16211840+2942079,1318168996930924416,245.3265107,29.70216234,6.7972355,0
2MASS J16211912+2935389,1318155497850086656,245.3296621,29.59408534,1.0756264,0
2MASS J16211996+3011345,1318258302187363584,245.3331417,30.19257302,1.0813246,0
2MASS J16212141+3112290,1319164127970270464,245.339276,31.20797816,1.0105817,0
2MASS J16212178+2501359,1302517865523996800,245.3407568,25.02663461,1.0186063,0
2MASS J16212178+2501359,1302517865523996800,245.3407568,25.02663461,1.0186063,0
2MASS J16212244+2559200,1303453068882466432,245.3435375,25.98886805,1.1790911,0
2MASS J16212252+2859434,1317570007908628480,245.3438914,28.99545747,1.0160884,0
2MASS J16212253+2952195,1318179927624097920,245.3439153,29.87211862,1.0154985,0
2MASS J16212285+2730450,1305312824081366272,245.3451909,27.51249929,0.89997363,0
2MASS J16212285+2730450,1305312824081366272,245.3451909,27.51249929,0.89997363,0
2MASS J16212338+2955054,1318181817408514688,245.347539,29.91807549,1.489989,0
2MASS J16212338+2955054,1318181817408514688,245.347539,29.91807549,1.489989,0
2MASS J16212338+2955054,1318181817409713408,245.3473252,29.91838684,2.5992086,0
2MASS J16212338+2955054,1318181817409713408,245.3473252,29.91838684,2.5992086,0
2MASS J16212413+3103269,1319153270292930304,245.3504585,31.05745285,2.9425411,3
2MASS J16212413+3103269,1319153270293520512,245.3505714,31.05785083,,0
2MASS J16212413+3130061,1319239650675340288,245.3505831,31.50150499,0.9856347,0
2MASS J16212447+2858094,1317569733030716544,245.3520126,28.96924876,1.3939388,0
2MASS J16212513+2547383,1303401666713760896,245.3547238,25.79388059,1.0026402,0
2MASS J16212513+2547383,1303401666713760896,245.3547238,25.79388059,1.0026402,0
2MASS J16212513+2547383,1303401666713760896,245.3547238,25.79388059,1.0026402,0
2MASS J16212683+2607039,1303480625392648064,245.3617619,26.11778697,0.9348956,0
2MASS J16212686+3133151,1319243121008918400,245.361953,31.55416135,1.0390913,0
2MASS J16212841+2524137,1303371808101014528,245.368415,25.40378907,1.1126024,0
2MASS J16212941+2545307,1303398398241557248,245.3725824,25.75848457,0.9816562,0
2MASS J16213012+3049317,1319134441156277376,245.3755794,30.82544265,1.0645672,0
2MASS J16213100+2748537,1305338078489110400,245.3791787,27.81484772,1.2331971,0
2MASS J16213100+2748537,1305338078489110400,245.3791787,27.81484772,1.2331971,0
2MASS J16213105+3055154,1319139560757304704,245.3792534,30.92101744,1.0985625,0
2MASS J16213192+2546384,1303401391835851776,245.3829908,25.77731108,1.037921,0
2MASS J16213192+2546384,1303401391835851776,245.3829908,25.77731108,1.037921,0
2MASS J16213323+3245058,1325500613481505536,245.3884502,32.75153775,1.0466111,0
2MASS J16213496+3254384,1325572906371045376,245.3957377,32.91063037,1.0027064,0
2MASS J16213496+3254384,1325572906371045376,245.3957377,32.91063037,1.0027064,0
2MASS J16213511+3021033,1318267510597348224,245.396473,30.35068295,1.0579615,0
2MASS J16213511+3021033,1318267510597406848,245.3976723,30.35086459,,0
2MASS J16213526+3117411,1319166361353266688,245.3968051,31.29481327,,0
2MASS J16213648+2922121,1318147766909162368,245.4021258,29.3699863,1.1071328,0
2MASS J16213648+2922121,1318147766909162368,245.4021258,29.3699863,1.1071328,0
2MASS J16213667+3258562,1325574864876137472,245.4028532,32.98252749,2.5873408,0
2MASS J16213667+3258562,1325574864876137472,245.4028532,32.98252749,2.5873408,0
